TEG,Round,Hole,PAR,SI,DM,GW,JB,SN,AB,JP
TEG XI,R3,12,3,18,4,4,5,0,3,3
TEG XI,R3,13,4,12,7,5,7,0,4,6
TEG XI,R3,14,4,14,5,4,5,0,4,6
TEG XI,R3,15,3,10,5,3,6,0,4,4
TEG XI,R3,16,4,6,5,5,5,0,6,9
TEG XI,R3,17,4,2,6,5,4,0,5,4
TEG XI,R3,18,5,16,5,6,6,0,8,6
TEG XI,R4,1,4,3,4,6,5,0,5,4
TEG XI,R4,2,4,5,4,6,4,0,5,6
TEG XI,R4,3,5,13,5,6,7,0,6,5
TEG XI,R4,4,4,9,5,4,4,0,6,7
TEG XI,R4,5,3,7,4,4,4,0,5,3
TEG XI,R4,6,4,11,6,5,6,0,7,5
TEG XI,R4,7,5,17,6,6,5,0,6,7
TEG XI,R4,8,3,15,3,5,4,0,5,5
TEG XI,R4,9,4,1,5,6,4,0,8,7
TEG XI,R4,10,4,12,6,9,4,0,4,5
TEG XI,R4,11,3,16,3,5,4,0,3,4
TEG XI,R4,12,5,14,6,6,5,0,8,8
TEG XI,R4,13,4,6,6,5,8,0,7,6
TEG XI,R4,14,4,4,5,5,5,0,6,7
TEG XI,R4,15,5,18,8,7,6,0,6,6
TEG XI,R4,16,3,10,5,4,4,0,5,3
TEG XI,R4,17,4,8,6,4,6,0,8,4
TEG XI,R4,18,4,2,4,6,6,0,6,7
TEG XII,R1,1,4,14,5,5,7,6,7,4
TEG XII,R1,2,3,18,3,4,3,3,7,6
TEG XII,R1,3,4,6,4,4,3,5,7,4
TEG XII,R1,4,4,2,7,5,6,7,5,12
TEG XII,R1,5,5,16,6,6,6,8,5,7
TEG XII,R1,6,4,12,4,5,5,5,5,5
TEG XII,R1,7,5,8,6,5,5,6,5,6
TEG XII,R1,8,3,4,4,3,3,4,4,3
TEG XII,R1,9,4,10,5,5,5,7,6,4
TEG XII,R1,10,5,9,7,5,6,6,10,5
TEG XII,R1,11,3,7,5,4,4,4,3,3
TEG XII,R1,12,4,11,6,4,4,4,4,6
TEG XII,R1,13,4,1,5,5,4,10,8,4
TEG XII,R1,14,3,13,3,3,2,4,5,5
TEG XII,R1,15,5,5,6,7,7,12,8,6
TEG XII,R1,16,3,17,3,4,3,3,3,5
TEG XII,R1,17,4,3,5,5,5,4,5,5
TEG XII,R1,18,5,15,5,5,6,7,5,6
TEG XII,R2,1,4,14,4,5,5,8,7,6
TEG XII,R2,2,3,18,5,4,4,4,3,4
TEG XII,R2,3,4,6,4,6,5,5,5,8
TEG XII,R2,4,4,2,5,8,5,5,5,5
TEG XII,R2,5,5,16,5,5,6,5,5,6
TEG XII,R2,6,4,12,4,4,5,3,6,4
TEG XII,R2,7,5,8,5,5,5,8,8,6
TEG XII,R2,8,3,4,3,4,4,3,6,5
TEG XII,R2,9,4,10,7,5,6,4,7,5
TEG XII,R2,10,5,9,5,4,5,7,4,6
TEG XII,R2,11,3,7,4,4,2,3,4,4
TEG XII,R2,12,4,11,4,6,7,5,5,5
TEG XII,R2,13,4,1,6,5,5,5,5,6
TEG XII,R2,14,3,13,3,4,3,5,3,3
TEG XII,R2,15,5,5,6,5,6,8,6,10
TEG XII,R2,16,3,17,4,5,4,5,5,3
TEG XII,R2,17,4,3,4,4,5,4,6,5
TEG XII,R2,18,5,15,6,5,6,6,6,5
TEG XII,R3,1,4,3,6,6,5,4,4,5
TEG XII,R3,2,4,5,7,5,6,7,8,5
TEG XII,R3,3,5,13,6,5,7,5,7,10
TEG XII,R3,4,4,9,6,9,5,7,7,5
TEG XII,R3,5,3,7,3,3,3,4,3,3
TEG XII,R3,6,4,11,6,5,5,6,5,5
TEG XII,R3,7,5,17,5,6,6,7,5,9
TEG XII,R3,8,3,15,4,3,3,4,4,3
TEG XII,R3,9,4,1,6,5,5,6,6,6
TEG XII,R3,10,4,12,5,5,6,5,5,4
TEG XII,R3,11,3,16,3,5,5,5,5,5
TEG XII,R3,12,5,14,7,8,4,7,6,5
TEG XII,R3,13,4,6,5,11,4,4,6,5
TEG XII,R3,14,4,4,5,4,6,6,5,5
TEG XII,R3,15,5,18,5,5,5,9,7,4
TEG XII,R3,16,3,10,5,4,5,5,5,4
TEG XII,R3,17,4,8,5,5,5,6,6,5
TEG XII,R3,18,4,2,5,6,5,5,7,7
TEG XII,R4,1,4,3,5,6,6,5,5,7
TEG XII,R4,2,4,5,5,6,5,4,5,6
TEG XII,R4,3,5,13,9,5,6,7,6,5
TEG XII,R4,4,4,9,8,5,4,7,5,5
TEG XII,R4,5,3,7,5,5,4,5,3,3
TEG XII,R4,6,4,11,5,6,5,5,7,5
TEG XII,R4,7,5,17,6,4,7,8,6,6
TEG XII,R4,8,3,15,3,4,2,3,4,4
TEG XII,R4,9,4,1,5,5,7,7,5,7
TEG XII,R4,10,4,12,7,4,5,5,5,4
TEG XII,R4,11,3,16,3,4,5,4,3,5
TEG XII,R4,12,5,14,4,6,5,5,7,7
TEG XII,R4,13,4,6,4,6,5,6,6,5
TEG XII,R4,14,4,4,3,7,4,5,6,5
TEG XII,R4,15,5,18,6,5,5,3,5,7
TEG XII,R4,16,3,10,4,4,3,5,5,5
TEG XII,R4,17,4,8,4,5,6,7,5,6
TEG XII,R4,18,4,2,6,5,5,5,5,5
TEG XIII,R1,1,4,12,7,4,4,0,7,8
TEG XIII,R1,2,4,8,5,7,4,0,4,6
TEG XIII,R1,3,5,4,6,8,4,0,6,5
TEG XIII,R1,4,3,18,5,4,3,0,5,6
TEG XIII,R1,5,5,2,4,7,5,0,8,4
TEG XIII,R1,6,4,14,5,6,5,0,6,6
TEG XIII,R1,7,4,6,6,6,4,0,6,9
TEG XIII,R1,8,3,16,5,4,4,0,4,4
TEG XIII,R1,9,4,10,4,5,6,0,5,6
TEG XIII,R1,10,4,11,7,6,5,0,6,8
TEG XIII,R1,11,4,3,5,5,5,0,8,6
TEG XIII,R1,12,4,13,6,4,6,0,7,5
TEG XIII,R1,13,4,5,5,6,5,0,5,6
TEG XIII,R1,14,3,15,4,4,5,0,4,4
TEG XIII,R1,15,4,1,5,3,7,0,5,6
TEG XIII,R1,16,5,7,6,6,5,0,7,9
TEG XIII,R1,17,4,17,5,4,4,0,4,4
TEG XIII,R1,18,4,9,4,5,4,0,5,6
TEG XIII,R2,1,4,4,6,5,5,0,6,8
TEG XIII,R2,2,3,16,4,6,5,0,4,5
TEG XIII,R2,3,5,14,5,5,5,0,5,8
TEG XIII,R2,4,4,2,5,5,5,0,5,6
TEG XIII,R2,5,4,6,5,4,6,0,5,5
TEG XIII,R2,6,5,10,5,6,4,0,7,7
TEG XIII,R2,7,4,18,6,5,6,0,5,4
